review,name,location,stars
"DO NOT GO HERE!!!!  FILTHY STORE DISGUSTING .Handled food with no gloves no mask. Very rude employees let only male customers in the restaurant. Went to pick up order and was rudely kicked out explained was there for an order and was told to bad go threw the drive thru . Went to the drive thru 15 cars in line and when I left unlocked the doors and let only make customers in.all the while my customer is waiting for there food . Listening to other orders and restaurant is out of everything. What a disappointment. Still in line over a half an hour. I can't even give them one star not even for effort none was giving. This isn't the first time I've gone here and Evey order was messed up or they didn't have the food. Where is the Management please for the love of God HELP KFC  in Canandaigua, N.Y.",Jennifer G,"Derby, NY",3
Not as good as cluckin' bell's chicken but not bad either,Lamar D.,"Roselle, IL",3
The service is trashy they throw the order at you and the wait is horrible I love this food but that's beside the point this needs to change.,EMS L.,"Greensburg, PA",1
"Yeah the dining area could look a lot cleaner.

But I've been here several times for both KFC and Taco Bell food and have never gotten sick so that's an a-ok in my book.
I forget the cashier's name I've met several times, she's actually pretty nice and friendly.
There is NO drive through. The dining room can be filled with sketchy people sometimes. Sometimes, it's families."," 
Thien H.","Riverbank, CA",3
"With arbitrary tip, fees and taxes KFC wants to charge $45 for a $30 fill up. Free delivery. Ridiculous to assume that one would want to pay a 20% tip for no table service.
On top of that, they left the dipping sauce out of the bag. Took an hour to reach them to complain and by then the food was gone.
So I fell for the advertisements and tried it once. Never again.",Blair C.,"San Francisco,CA",1
"Once a year we indulge in a chicken meal. Ordered the $20 Family bucket today. First, the lethargic clerk told us they were out of white meat.  Okay, we actually prefer dark meat, but still not excusable to not have your standard, advertised product. Then she tells us there is no extra crispy because they ran out of breading. How can a KFC franchise run out of breading? That's what they do. They bread and deep fry chicken.  
We decided after driving over there we would live with that too. The worst part was, they don't say ""Gee, we're really sorry about this. Can we offer you some free extra biscuits' - or something along those lines.
Given these people are underpaid and probably not treated with much respect, however, I am the damn customer. At least schmoose me enough to make sure I walk away with some kind of positive experience.  The food was fine, but that is standard since all of these places work on a system.  
Two points.  This place of business is not run like a place of business.  Also, if you don't like your $12.00 an hour no benefits job, get out there and convince someone you are worth decent pay and benefits.  If you choose to work for minimum, you still have to perform professionally.",Blair C.,"San Francisco,CA",1
"One basically me and my father wanted to order a 8 pec with 2 side but the lady Elizabeth over there said ""we"" can have ""only one side and Elizabeth is a rude person",Just l.,"Union City, NJ",1
"Terrible. Horrible decisions.

My mind tells me no as I walked up the hill to this delicious franchise, but my body marches on. Once I get to the emotional state that I need a two piece and thigh, nothing can stop me.

AMBIANCE slowly reminds me of my decision. Squeezing into this tiny spot with the large number of people inside sobers me up. But we've come this far.

ORDERED as my go to items: 2 waffles and 3 piece dark with 2 biscuits.

I've waited anywhere from 15 minutes to 1 hour for my food. Regret sinks in.

FOOD is delicious going down the hatch, although I realize the error of my ways.

OVERALL a timid two stars. Quicker service and prepared food is needed.",Nicholas G.,"San Francisco, CA",2
"Look y'all. My standards really aren't that high. I'm ordering from a KFC/Taco Bell after 9pm on a Sunday. But this was easily the most terrifyingly disgusting fast food place I've ever seen.
Starting very specifically with the workers. The person taking my order continued to blow her nose all over the counter, my screen and myself, the line cooks were screaming the most ridiculous profane things the entire time at both the patrons and the staff. Everything took forever. Multiple people who had already paid for their meals just eventually gave up over waiting in this insane environment. Literally every inch of this place was covered in trash and filth.
Every single person working here, and in charge of here, deserves to be fired immediately. I have NEVER been so appalled by a place. Holy heck. Place needs to be shut down RIGHT NOW.
If any of staff is reading this, I will be contacting corporate, demanding a refund, and honestly probably suing for death by food poisoning. Jesus Christ."," 
Sarah S.","Los Angeles, CA",1
"First, they got my order wrong which I let slide. But the chicken at this location was gross, the skin was all soft and mushy not crispy at all and the thigh was dry. The fries were ok don't know what the ""secret recipe"" is but barely any flavor couldn't even tell.",Alison W.,"San Francisco, CA",2
They rang out of chicken at 8:30pm that's ridiculous I had to settle with ordering Taco  supreme.,RICHARD W.,"San Francisco, CA",1
"Extremely horrible employee, (meghan)she missed a item and tried to argue me down about being wrong even when she realized she was wrong. And then they said they Have to do my order last","
Asia S.","San Francisco, CA",1
"What is a KFC without chicken? This place.   TWICE.

Twice we've stopped in to be told that there is no chicken, or no white meat chicken. AFTER waiting for the counter staff to stop playing with each other and help the customer.

NEVER AGAIN",Mark K.,"
San Francisco, CA",1
"Mark, thank you for your review.  I am very sorry we did not meet your quality service expectations.  Please look for a Private Message so that we may personally address this issue for you.",Mark K.,"
San Francisco, CA",1
Horrible service the only person that actually was good there was the person took my order at the counter. The people who own this really need to look into who they have working for them.,"Karen C.
","Bergenfield, NJ",2
If you want to wait 24 minutes for fast food this is your place. Dirty. Garbage all over the floors and counters. Flies buzzing around. Non-English speaking workers who clearly don't care about their job. Seriously? The worst!,Thom B.,"San Francisco, CA",1
"This is magical!!

Yesterday came in and wanted to get 20 hot wings. They had just 4 and I was busy.
It didn't work.
Today I went to Marina and wanted to check out KFC there. It it closed/ construction happening there.
Okay.
Went to the KFC at Duboce. 6:55 PM
IT IS CLOSED

UNIVERSE DOES NOT WANT ME TO EAT THIS FOOD.
Thus is great sign.
Thank you junk food restaurant to be unavailable for me)))

Love you so much. Having smoothie now))","Marianna P.
","San Francisco, CA",5
"It's KFC.  So I won't rate based on it's food...but the service here was exactly what I expected.   Quick, friendly enough and accurate."," 
Matt V.","San Francisco, CA",4
Horrible please don't come here . Staff are on drugs and is not clean have rats also do not come here go to another KFC," 
Duane M.
","Oakland, CA",1
"I've been here two or three times in the last three years. I was passing by and was very hungry, only reason why I ate there. It's a typical KFC with Taco Bell. It's located in a great area, with no crazy homeless people camping, begging around, or getting inside the KFC to protect themselves from the cold, which is already a big plus for any establishment in San Francisco.

I had a three-piece combo for $10.00. I chose the Mountain Dew Blast soda from their soda machine, which delivered a great soda with a full flavor.  The customer crowd was decent and the customer service was fine. The sitting area was dirty, as was the entire floor. The space here is very limited."," 
Raymond F.
","San Francisco, CA",4
"This location is subpar. It's just your typical KFC but the employees are the ones that made an impression on my visit. Essentially we stopped by just for a quick snack because traffic was horrible. When we went inside to order, the cashier was pretty short tempered. She just had a ""leave me alone"" attitude. This put a damper on our visit. But it only got worse. This location was filthy which I didn't understand because there weren't that many customers in the store. The only reason we stayed was because we knew rush hour was pretty bad at the time of our visit."," 
Jermaine C.
","Torrance, CA",1
"It's all about management. We used to come here whenever I really didn't want to cook. The manager's name was Doug. The store was always clean, food good, rarely out of anything. Since he left the store had plummeted in quality. They are constantly out if something, every time we go, the store is always dirty and the food is rarely done right. We've stopped coming much at all, today is the last day.","Trey L.
","San Francisco, CA",1
"I was at KFC today and got 3 Piece Strips $5 Fill-up Meal and I was disappointed due to my strips were overcooked, dry and hard to chew and swallow, the best thing that take came out of it was my chewy Chocolate Chip Cookies that came with my meal and my medium strawberry soda. Since I do enjoy their Mashed Potatoes and Gravy and their Coleslaw I was disappointed in myself because I forgot to get a spoon.

Since they did changed managers I do miss the last manager ""Douglass"" maybe he was moved to a another location or he retired. He always very friendly and polite and funny I got feeling I was in Kentucky from the country music playing. Now this KFC has changed in a way that No music is playing anymore and the new manager is a 20 something also somewhat friendly.

But it's KFC you know!!",Panaligan-Jung A.,"San Francisco, CA",2
"another sucky visit to KFC.
ordered an 8 peice bucket meal.
Spent nearly $30.
when I got it home, nothing but dark meat and biscuits you could use as hockey pucks.
it's obvious the employees have no respect for themselves nor their customers!
Disgusting"," 
Kk P.
","San Francisco, CA",1
Extreme rude service. Food was good but the cashier who was definitely high on drugs and extremely rude. I wish I spent my hard earned money else where.,"Leslie M.
","San Francisco, CA",1
"This KFC/Taco Bell has had its waves of good and bad over the years, but I have to say it's in the middle of a bad wave again :-( I went in last night - Saturday night - It was a little busy... I was told they stop serving chicken at 8pm now. What?! That's right, no chicken after 8pm. So I got a few tacos. Place was filthy and there were only three people on staff. One to take orders (with a little bit of an attitude) one to make all the orders (seemed super tired and overworked) and another person I guess to support the food prep. Wild Cherry Pepsi was just spitting out water, and everyone was so busy it took awhile to get that Pepsi happening again. Any request I had was met with incredulity. Why is it so hard to get this KFC up to a decent standard? I don't know, but I don't want to go back."," 
Kristin K.
","San Francisco, CA",1
"This KFC is a hit and miss. Again it's literally opposite my pad so I have come here a few times. Hopefully if you ever come here, Dwayne is your cashier. He'll always give you a free thing or two or....three. And with Dwayne there, you are probably going to get a better meal. I've noticed when he isn't that the food pretty much sucks and is deserving of a 1 star.When he is, the food is actually bearable. Surprising for one of the greasiest fast foods in America.",Ray H.,"
San Francisco, CA",3
